key,first_name,last_name,partner_key,email_address,membership_number,skill,experience,whitelist
ka,K,A,ja,example@example.com,123-456,1,Basic cruising course in Antigua winter 2024+u2028Social cruising summer 2024,cariad;valkyrie;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
la,L,A,,example@example.com,123-456,1,Basic Sailing Skipper Qualification (May 2023)+u2028Social Day Sailing participant (Summers 2023 and 2024)+u2028Comfort with all types of boats: tiller or wheel steering+u002C manual jib prep (vs. furler).+u2028Interested in learning technical aspects of sailing.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ma,M,A,,example@example.com,123-456,1,Basic and crew with friends at BYC,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
na,N,A,,example@example.com,123-456,2,Basic and Intermediate certification ,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
oa,O,A,,example@example.com,123-456,0,I only have experience with small motor boats used for fishing.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
pa,P,A,,example@example.com,123-456,1,Took a week-long sailing course at the Royal Canadian Yatch Club in Toronto a couple of years ago.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
qa,Q,A,,example@example.com,123-456,0,I have done Competitive Crew back in 2011+u002C but never sailed since then. Would like to come back to sailing,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ra,R,A,,example@example.com,123-456,0,My father had a sailboat when I was younger like around 10. I have not been on a boat since then. But I would like to get into sailing.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
sa,S,A,na,example@example.com,123-456,0,Limited ,cariad;valkyrie;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ta,T,A,,example@example.com,123-456,0,,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ua,U,A,,example@example.com,123-456,0,I have never sailed,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
va,V,A,ua,example@example.com,123-456,0,Sailed as a child,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
wa,W,A,,example@example.com,123-456,1,Completed the Advantage Boating Basic Cruising certification a few years ago+u002C but have only been out sailing a few times since.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
xa,X,A,,example@example.com,123-456,1,I've completed the Basic Cruising course at NSC and was a member of the SailShare program at NSC.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ya,Y,A,,example@example.com,123-456,1,Although I am crew on various race boats and have participated in social sailing for a few summers+u002C I still have so much to learn. I would probably fall between basic qualifications and experienced sailor??,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
za,Z,A,,example@example.com,123-456,1,Learned to sail 40 years ago at summer camp in Snarks. Two summers ago at a family camp+u002C my interest in sailing was rekindled after I sailed Hobie Wave catamarans several times.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ab,A,B,,example@example.com,123-456,2,Sailed keelboats and dinghies for 45+ years,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
bb,B,B,,example@example.com,123-456,1,Looking for opportunities to get out on the water anytime! I’m a 55 year old woman+u002C easy going and quick to learn. ☺️,cariad;valkyrie;xantippe;australis;shawanaga;xelha;astraeus;veledaiii;pretender;brisa;invictus;tonguç;fixen;tropicalquest
cb,C,B,,example@example.com,123-456,1,Cansail 1 course taken.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
db,D,B,,example@example.com,123-456,1,Basic experience+u002C have comfortably sailed a dinghy solo after completing the program at NSC. I missed last year and would be helpful to get a refresher on my knots and rigging. I remember most of it.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
eb,E,B,,example@example.com,123-456,2,Cansail 1&2 dinghy 2013 Sailing dinghies x 11 years (KSC) +u2028Keelboat basic cruising cert. 2024 -Advantage Boating+u2028Social Sail crew 2024+u002C +u2028Racing crew fill in 2021-2024 Viper and J80 (NSC),cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
fb,F,B,,example@example.com,123-456,1,I recently completed the introduction to keelboat course and am looking to spend more time practicing what I learned before taking the basic course in August. I will receive my NSC membership shortly.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
gb,G,B,,example@example.com,123-456,1,pleasure sailing on Albacore boats.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
hb,H,B,,example@example.com,123-456,1,I am taking the Basic Cruising Course June 9-12+u002C 2025+u2028I have applied for a NSC Membership but do not have a number as yet.,valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ib,I,B,,example@example.com,123-456,2,40 years dinghy and keel boats;+u2028CYA Cruising qualification,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
jb,J,B,,example@example.com,123-456,1,CANSail 1 & 2.  +u2028Dinghy refresher weekend. +u2028Have attended some social day cruising events in the past 2 years.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
kb,K,B,,example@example.com,123-456,0,I am a novice sailor. I have taken some basic training+u002C but am not qualified. I've enjoyed NSC Social Day Cruising before & am a NSC Crew Member,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
lb,L,B,,example@example.com,123-456,0,I am new to sailing but have basic knowledge of sailing. As a teen I took my White Sail 1+u002C sailed on overnight cruises+u002C and grandfather had a larger ChrisCraft motor yacht. I am enrolled in Basics Cruising starting in July. I participated in an Adult Sail Weekend at Stormont Yacht Club in 2024+u002C where I gained some experience helming (both rutter and wheel) and am currently racing as crew member (foredeck) on a C&C Sundays at the Stormont Yacht Club.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
mb,M,B,,example@example.com,123-456,1,Basic cruising standard. Course taken a few years ago.  ,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
nb,N,B,,example@example.com,123-456,0,Basic Cruising+u002C Coastal Nav+u002C Intermediate Cruising (theory)+u002C VHF+u002C  White Sail 1+u002C 2 and 3. Lot of theory+u002C not enough practice. Not strong and can't winch or hoist. Limited physical ability.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;tropicalquest
ob,O,B,,example@example.com,123-456,2,,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
pb,P,B,,example@example.com,123-456,2,I have sailed multiple dinghies and 24' - 30' monohull sailboats over my life. NSC member since 1989.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
qb,Q,B,,example@example.com,123-456,0,Sailed lasers for many years. ,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
rb,R,B,,example@example.com,123-456,1,I have the basic cruising certificate obtained in 2018 and I am part of the Sail Share program with Advantage Boating for 5 years.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
sb,S,B,rb,example@example.com,123-456,2,I have an Intermediate sailing certificate from Sail Canada. I'm a sailing instructor with Advantage Boating and part of the sail share program as well.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
tb,T,B,,example@example.com,123-456,1,NSC membership in progress+u20282024 - Advantage boating  basic cruising  +u20282025 -  ROC (Marine)+u2028New sailor returning after many  year absence sailing dinghies when in my university days.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;astraeus;veledaiii;pretender;brisa;invictus;tonguç;fixen;tropicalquest
ub,U,B,,example@example.com,123-456,0,I have sailed a few times in BC and 3 times last year for social sails. My intention is to do the cansail basic cruising course next summer!,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
vb,V,B,ub,example@example.com,123-456,0,I have sailed twice last year for social sails. My intention is to do the cansail basic cruising course next summer! ,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
wb,W,B,,example@example.com,123-456,2,Sailed 26 years and owned boats,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
xb,X,B,,example@example.com,123-456,2,Owner and crew on many boats.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
yb,Y,B,,example@example.com,123-456,2,Basic Cruising and Intermediate crew through Advantage Boating.+u2028Sailing for 15 years Skarks+u002C Tanners+u002C C&Cs+u002C  larger keel boats 30 to 44ft,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
zb,Z,B,,example@example.com,123-456,2,,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ac,A,C,,example@example.com,123-456,0,I used to crew for Sal Khan and Roger Hacking at BYC for many years. My parents have had sailboats all my life which I have sailed on with them. They sold their last boat in 2017+u002C so It has been a few years since I have been out sailing. Right now I have a lower back issue which is affecting my mobility ... but I would really love to get out on a sailboat again!,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;tropicalquest
bc,B,C,,example@example.com,123-456,0,I took Basic Cruising with Advantage Boating on the last week of May 2025.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
cc,C,C,,example@example.com,123-456,2,Experienced racer & cruiser in many keelboat classes+u002C sailing in my own and other people's boats. Recently moved here from Kingston.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
dc,D,C,,example@example.com,123-456,1,Hi+u002C I have been a crew member on Mardi Gras II (Ian Douglas) for 4 years+u002C I have done the Basic Cruising course with Advantage sailing in 2022+u002C as well as Can Sail 1 and 2 in 2024.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ec,E,C,,example@example.com,123-456,2,4 years racing Albacores;+u2028First season crewing on keelboat; learning foredeck/spinnaker duties,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
fc,F,C,,example@example.com,123-456,1,I hold a Pleasure Craft Operator Card issued by Transport Canada,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
gc,G,C,,example@example.com,123-456,1,Basic cruising+u2028Pleasure craft operator card,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
hc,H,C,,example@example.com,123-456,0,I am an experienced paddler and knowledgeable about water safety.  I am also a fitness and skate ski instructor.  New to sailing+u002C but keen to learn.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
ic,I,C,,example@example.com,123-456,1,,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
jc,J,C,,example@example.com,123-456,0,I am brand new but have lot of outdoor activities+u002C Sailing would be first time.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
kc,K,C,,example@example.com,123-456,0,,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
lc,L,C,ec,example@example.com,123-456,2,My experience is primarily in dinghy sailing in the Albacore fleet. This season I crewed on a Tanzer 22 during NOD.+u2028,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
mc,M,C,,example@example.com,123-456,1,Took sailing course years ago and practiced windsurfing also.+u2028I have been part of the program last year ( no card),cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
nc,N,C,mc,example@example.com,123-456,0,None+u2028Wish to sail with my husband JP Larochette,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
oc,O,C,,example@example.com,123-456,1,I have my basic cruising from 2017 (captain) and my Pleasure Craft Operator Card. I have sailed in social sailing in 2017+u002C 2018 and started again in summer 2024. I crewed on a boat in the Red Sea for four days in 2019.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;tropicalquest
pc,P,C,,example@example.com,123-456,2,Attended junior squadron at BYC. Raced lasers+u002C 505s+u002C and keelboats (PHRF).,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
qc,Q,C,,example@example.com,123-456,0,I do not have any experience sailing+u002C but I am athletic and fit and I look forward to the first voyage.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
rc,R,C,,example@example.com,123-456,1,,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
sc,S,C,,example@example.com,123-456,2,Sailed for 60 years and owned a Mirage 25 for 29 years.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
tc,T,C,,example@example.com,123-456,1,I own a b25+u002C advantagr boating course+u002C pleasure craft cert.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
uc,U,C,,example@example.com,123-456,1,learned on Lasers.,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
vc,V,C,rc,example@example.com,123-456,1,,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
wc,W,C,,example@example.com,123-456,2,,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
xc,X,C,,example@example.com,123-456,0,,cariad;valkyrie;xantippe;australis;shawanaga;xelha;veledaiii;pretender;brisa;fixen;tropicalquest
