key,display_name,first_name,last_name,partner_key,email,mobile,social_preference,membership_number,rank,skill,experience,available,history,whitelist
cnn02,Cnn02,Cnn0,2,,a@example.com,,No,,2;1;0;0,0,,0;0;3;3;3;0;2;2;2;2;2;2;2;2;2;2;2;2,;;b_4y1;b_4y1;b_3n1;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cyy11,Cyy11,Cyy1,1,cyy01,a@example.com,,No,11111,2;1;0;0,1,,0;0;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2,;;;b_4y1;b_4y1;b_2y1;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cyy01,Cyy01,Cyy0,1,cyy11,a@example.com,,No,11111,2;1;0;0,0,,0;0;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2,;;;b_4y1;b_4y1;b_3n2;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cnn03,Cnn03,Cnn0,3,,a@example.com,,No,,2;1;0;0,0,,0;0;2;3;3;0;2;2;2;2;2;2;2;2;2;2;2;2,;;;b_3n2;b_3n2;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cnn13,Cnn13,Cnn1,3,,a@example.com,,No,,2;1;0;0,1,,0;0;2;3;3;0;2;2;2;2;2;2;2;2;2;2;2;2,;;;b_4y1;b_3n2;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cny04,Cny04,Cny0,4,,a@example.com,,No,11111,2;1;0;0,0,,0;0;0;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2,;;;;b_2y2;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cny21,Cny21,Cny2,1,,a@example.com,,No,11111,2;1;0;0,2,,0;0;0;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2,;;;b_3n2;b_4y1;b_2y2;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cny12,Cny12,Cny1,2,,a@example.com,,No,11111,2;1;0;0,1,,0;0;0;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2,;;;;b_2y1;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cny13,Cny13,Cny1,3,,a@example.com,,No,11111,2;1;0;0,1,,0;0;0;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2,;;;;b_2y1;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cny05,Cny05,Cny0,5,,a@example.com,,No,11111,2;1;0;0,0,,0;0;0;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2,;;;;b_2y2;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cny23,Cny23,CNY2,3,,t3moses@gmail.com,,No,11111,2;1;0;0,2,,0;0;0;0;2;0;2;2;2;2;2;2;2;2;2;2;2;2,;;;;;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
cnn04,Cnn04,Cnn0,4,,a@example.com,,No,,2;1;0;0,0,,0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2,;;;;;;;;;;;;;;;;;,b_2n1;b_3n1;b_4y1;b_2y1;b_3n2;b_2y2
