key,display_name,first_name,last_name,partner_key,email,membership_number,rank,skill,experience,available,history,whitelist
ka,KA,K,A,ja,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;N;Y;N;N;N;Y;Y;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
la,LA,L,A,,example@example.com,111-222,1;1;0;0,1,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ma,MA,M,A,,example@example.com,111-222,1;0;0;0,1,Various,Y;N;N;N;N;N;Y;N;N;Y;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
na,NA,N,A,,example@example.com,111-222,1;1;0;0,2,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
oa,OA,O,A,,example@example.com,111-222,1;0;0;0,0,Various,Y;N;Y;Y;N;N;N;N;N;Y;N;Y;Y;Y;Y;Y;N;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
pa,PA,P,A,,example@example.com,111-222,0;0;0;0,1,Various,Y;N;Y;N;Y;Y;N;Y;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
qa,QA,Q,A,,example@example.com,111-222,1;0;0;0,0,Various,N;Y;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ra,RA,R,A,,example@example.com,111-222,1;0;0;0,0,Various,N;N;N;N;Y;N;N;N;N;Y;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
sa,SA,S,A,na,example@example.com,111-222,1;0;0;0,0,Various,Y;Y;Y;Y;Y;Y;N;Y;N;N;N;N;N;N;N;Y;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ta,TA,T,A,,example@example.com,111-222,1;0;0;0,0,Various,Y;N;N;Y;N;N;Y;Y;Y;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ua,UA,U,A,,example@example.com,111-222,1;0;0;0,0,Various,N;Y;Y;Y;Y;Y;Y;Y;N;N;N;Y;Y;N;N;Y;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
va,VA,V,A,ua,example@example.com,111-222,1;0;0;0,0,Various,N;Y;N;N;N;N;Y;N;Y;N;Y;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
wa,WA,W,A,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;Y;Y;Y;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
xa,XA,X,A,,example@example.com,111-222,1;1;0;0,1,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ya,YA,Y,A,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;Y;N;N;Y;N;N;N;N;N;Y;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
za,ZA,Z,A,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;N;Y;N;N;N;Y;Y;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ab,AB,A,B,,example@example.com,111-222,1;0;0;0,2,Various,Y;Y;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
bb,BB,B,B,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;Y;N;N;N;Y;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
cb,CB,C,B,,example@example.com,111-222,1;1;0;0,1,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
db,DB,D,B,,example@example.com,111-222,1;0;0;0,1,Various,N;N;Y;N;Y;Y;N;Y;N;N;Y;Y;N;Y;N;Y;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
eb,EB,E,B,,example@example.com,111-222,1;0;0;0,2,Various,N;Y;N;N;N;N;N;Y;N;Y;N;Y;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
fb,FB,F,B,,example@example.com,111-222,1;0;0;0,1,Various,N;N;Y;N;Y;N;N;N;Y;N;N;N;N;N;N;N;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
gb,GB,G,B,,example@example.com,111-222,1;0;0;0,1,Various,N;Y;Y;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
hb,HB,H,B,,example@example.com,111-222,1;0;0;0,1,Various,Y;Y;Y;N;N;Y;N;Y;Y;N;Y;Y;N;N;N;N;Y;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ib,IB,I,B,,example@example.com,111-222,1;0;0;0,2,Various,Y;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
jb,JB,J,B,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;N;Y;Y;N;N;N;N;Y;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
kb,KB,K,B,,example@example.com,111-222,1;0;0;0,0,Various,Y;Y;Y;Y;N;N;Y;N;Y;Y;N;Y;Y;Y;Y;Y;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
lb,LB,L,B,,example@example.com,111-222,1;0;0;0,0,Various,Y;N;Y;Y;Y;Y;Y;Y;Y;Y;N;N;N;Y;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
mb,MB,M,B,,example@example.com,111-222,1;0;0;0,1,Various,Y;N;Y;N;N;N;N;N;N;N;Y;N;N;N;N;N;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
nb,NB,N,B,,example@example.com,111-222,1;0;0;0,0,Various,N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;Y;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ob,OB,O,B,,example@example.com,111-222,1;0;0;0,2,Various,Y;Y;Y;Y;Y;Y;N;Y;Y;N;N;N;N;Y;Y;Y;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
pb,PB,P,B,,example@example.com,111-222,1;0;0;0,2,Various,Y;N;N;N;Y;Y;N;Y;N;N;N;N;N;N;N;N;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
qb,QB,Q,B,,example@example.com,111-222,1;0;0;0,0,Various,N;Y;Y;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
rb,RB,R,B,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;Y;N;N;Y;Y;N;N;Y;Y;N;N;N;Y;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
sb,SB,S,B,rb,example@example.com,111-222,1;0;0;0,2,Various,N;N;N;Y;N;N;Y;N;N;N;N;Y;N;Y;Y;Y;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
tb,TB,T,B,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;Y;Y;Y;N;N;N;N;N;Y;N;Y;N;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ub,UB,U,B,,example@example.com,111-222,1;0;0;0,0,Various,N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
vb,VB,V,B,ub,example@example.com,111-222,1;0;0;0,0,Various,N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
wb,WB,W,B,,example@example.com,111-222,1;0;0;0,2,Various,N;N;Y;Y;Y;N;Y;Y;Y;N;N;N;Y;Y;N;Y;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
xb,XB,X,B,,example@example.com,111-222,1;0;0;0,2,Various,N;N;Y;Y;N;N;N;N;N;N;N;N;Y;Y;N;N;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
yb,YB,Y,B,,example@example.com,111-222,1;0;0;0,2,Various,N;N;N;N;Y;Y;N;N;N;N;Y;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
zb,ZB,Z,B,,example@example.com,111-222,1;0;0;0,2,Various,N;N;N;N;N;N;N;N;Y;N;Y;N;N;N;Y;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ac,AC,A,C,,example@example.com,111-222,1;0;0;0,0,Various,N;N;Y;N;N;Y;N;N;Y;N;Y;N;N;N;N;N;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
bc,BC,B,C,,example@example.com,111-222,1;0;0;0,0,Various,N;N;N;N;Y;Y;Y;N;Y;N;N;N;N;N;N;Y;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
cc,CC,C,C,,example@example.com,111-222,1;0;0;0,2,Various,N;N;N;Y;Y;Y;Y;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
dc,DC,D,C,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;Y;N;Y;Y;Y;Y;Y;N;N;N;Y;N;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ec,EC,E,C,,example@example.com,111-222,1;0;0;0,2,Various,N;N;N;Y;N;N;N;Y;Y;N;N;N;N;N;N;N;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
fc,FC,F,C,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;N;Y;N;Y;N;N;Y;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
gc,GC,G,C,,example@example.com,111-222,1;1;0;0,1,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
hc,HC,H,C,,example@example.com,111-222,1;0;0;0,0,Various,N;N;N;N;Y;Y;Y;Y;Y;Y;Y;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
ic,IC,I,C,,example@example.com,111-222,1;1;0;0,1,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
jc,JC,J,C,,example@example.com,111-222,1;0;0;0,0,Various,N;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
kc,KC,K,C,,example@example.com,111-222,1;0;0;0,0,Various,N;N;N;N;N;N;N;N;N;Y;N;N;Y;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
lc,LC,L,C,ec,example@example.com,111-222,1;0;0;0,2,Various,N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
mc,MC,M,C,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;N;N;N;N;Y;N;N;Y;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
nc,NC,N,C,mc,example@example.com,111-222,1;1;0;0,0,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
oc,OC,O,C,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;N;N;N;N;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
pc,PC,P,C,,example@example.com,111-222,1;1;0;0,2,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
qc,QC,Q,C,,example@example.com,111-222,1;0;0;0,0,Various,N;N;N;N;N;N;N;N;N;N;Y;N;N;N;Y;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
rc,RC,R,C,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
sc,SC,S,C,,example@example.com,111-222,1;0;0;0,2,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
tc,TC,T,C,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
uc,UC,U,C,,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
vc,VC,V,C,rc,example@example.com,111-222,1;0;0;0,1,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
wc,WC,W,C,,example@example.com,111-222,1;0;0;0,2,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
xc,XC,X,C,,example@example.com,111-222,1;0;0;0,0,Various,N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;Y,;;;;;;;;;;;;;;;;;,boat1;boat2;boat3;boat4;boat5;boat6;boat7;boat8;boat9;boat10;boat11;boat12;boat13;boat14;boat15
